name,description,price,mrp,stock,category,brand,image_url
Puma Men's Running Shoes,"Lightweight mesh upper with responsive foam midsole. Rubber outsole with multi-directional traction. Reflective detailing.",3499,4999,40,Fashion,Puma,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600
Fabindia Women's Cotton Kurta,"Hand block printed cotton kurta with 3/4 sleeves. Straight cut with side slits. Machine washable.",1499,2200,25,Fashion,Fabindia,https://images.unsplash.com/photo-1594938298603-c8148c4b4283?w=600
Wildcraft 30L Hiking Backpack,"Waterproof 600D polyester with padded shoulder straps and back panel. Multiple compartments with laptop sleeve.",1999,2999,30,Fashion,Wildcraft,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600
Atomic Habits by James Clear,"The proven framework for improving every day. Packed with evidence-based strategies. Over 10 million copies sold worldwide.",399,699,100,Books,,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=600
Rich Dad Poor Dad by Robert Kiyosaki,"Personal finance classic that changed millions of lives. Teaches the mindset of the wealthy and how money can work for you.",299,499,150,Books,,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=600
The Psychology of Money by Morgan Housel,"19 short stories exploring the strange ways people think about money. A timeless guide to wealth and happiness.",399,599,80,Books,,https://images.unsplash.com/photo-1589829085413-56de8ae18c73?w=600
Deep Work by Cal Newport,"Rules for focused success in a distracted world. Teaches how to perform productive work in a state of distraction-free concentration.",349,549,70,Books,,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=600
The Alchemist by Paulo Coelho,"A magical story about following your dreams. One of the best-selling books in history translated into 80 languages.",249,399,200,Books,,https://images.unsplash.com/photo-1476275466078-4cdc71f21e89?w=600
Royal Canin Adult Dog Food 3kg,"Breed health nutrition with tailored energy levels. Supports digestive health with highly digestible proteins. Suitable for adult dogs.",1299,1599,60,Pet Supplies,Royal Canin,https://images.unsplash.com/photo-1589924691995-400dc9ecc119?w=600
Whiskas Adult Cat Food Tuna 1.2kg,"Complete and balanced nutrition for adult cats. Rich in tuna flavour. Contains essential vitamins and minerals.",349,449,90,Pet Supplies,Whiskas,https://images.unsplash.com/photo-1606214174585-fe31582dc6ee?w=600
Trixie Pet Water Fountain 1.5L,"Continuous fresh water circulation encourages cats and dogs to drink more. Carbon filter removes impurities. Quiet pump.",1499,1999,40,Pet Supplies,Trixie,https://images.unsplash.com/photo-1601758125946-6ec2ef64daf8?w=600
Petkin Dog Dental Wipes 40 Pack,"Fresh mint flavour removes plaque and tartar build-up. Gentle on gums. Suitable for dogs of all sizes. No rinsing required.",499,699,75,Pet Supplies,Petkin,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=600
Himalaya Erina Coat Conditioner 200ml,"Nourishes and conditions the coat leaving it soft and shiny. Contains natural proteins and moisturisers. Soap-free and pH balanced.",299,399,55,Pet Supplies,Himalaya,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?w=600
Bosch GBH 2-28 D Rotary Hammer Drill,"880W motor with SDS-plus chuck system. 3.2J impact energy for concrete drilling. Anti-vibration handle included.",8999,11500,12,Construction Equipment,Bosch,https://images.unsplash.com/photo-1504148455328-c376907d081c?w=600
Stanley FatMax 30m Tape Measure,"Blade armor coating for extreme durability. True zero hook and double-sided printing. Power lock blade retention.",1299,1799,50,Construction Equipment,Stanley,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600
Black+Decker 400W Jigsaw,"Tool-free blade change system. 4-stage orbital action for faster cutting. Variable speed trigger for precise control.",3499,4999,18,Construction Equipment,Black+Decker,https://images.unsplash.com/photo-1581147036324-c47a03a81d48?w=600
Fevicol SH Synthetic Resin Adhesive 1kg,"Water-resistant white adhesive for wood and laminates. Sets in 30 minutes with maximum bond strength. Non-toxic formula.",249,349,200,Construction Equipment,Fevicol,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600
3M Safety Helmet Yellow,"HDPE shell with 6-point suspension system. Adjustable ratchet headband. Meets IS 2925 safety standard. Ventilated design.",599,799,80,Construction Equipment,3M,https://images.unsplash.com/photo-1578681994506-b8f463449011?w=600
Castrol GTX 10W-40 Engine Oil 3.5L,"Semi-synthetic engine oil for petrol and diesel engines. Sludge protection technology. Suitable for Indian driving conditions.",1099,1399,40,Automotive,Castrol,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=600
Bosch Aerotwin Wiper Blade Set,"Bracketless flat blade design for aerodynamic performance. All-weather rubber compound for streak-free wiping. Universal adapter kit included.",899,1199,65,Automotive,Bosch,https://images.unsplash.com/photo-1592198084033-aade902d1aae?w=600
Amaron Pro Bike Rider 12V Battery,"Maintenance free sealed battery with high cranking power. 18 months replacement warranty. Suitable for 150 to 200cc bikes.",2299,2799,25,Automotive,Amaron,https://images.unsplash.com/photo-1625629671035-b42d9a3a4b38?w=600
3M Auto Scratch Remover 100g,"Removes fine scratches swirl marks and oxidation. Easy paste formula with microfibre applicator included. Suitable for all colours.",549,799,85,Automotive,3M,https://images.unsplash.com/photo-1607603750909-408e193868c7?w=600
Michelin Pilot Street Radial Tyre,"High-grip silica tread compound for wet and dry roads. Reinforced sidewall for durability. Compatible with most 17-inch rims.",3299,3999,20,Automotive,Michelin,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600
